app_id,app_name,count,genres
359320,Elite Dangerous,12584,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
427520,Factorio,12553,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
346110,ARK: Survival Evolved,12470,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}]"
10,Counter-Strike,12353,"[{'id': '1', 'description': 'Action'}]"
440,Team Fortress 2,12220,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}]"
305620,The Long Dark,11876,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
50300,Spec Ops: The Line,11833,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
201810,Wolfenstein: The New Order,11781,"[{'id': '1', 'description': 'Action'}]"
291480,Warface,11720,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '37', 'description': 'Free to Play'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
104900,ORION: Prelude,11630,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]"
346010,Besiege,11587,"[{'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]"
238320,Outlast,11471,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]"
242860,Verdun,11439,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
239030,"Papers, Please",11295,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]"
22370,Fallout 3 - Game of the Year Edition,11246,"[{'id': '3', 'description': 'RPG'}]"
319510,Five Nights at Freddy's,11217,"[{'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]"
232430,Gone Home,11215,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]"
231430,Company of Heroes 2,11130,"[{'id': '2', 'description': 'Strategy'}]"
234140,Mad Max,11126,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
221640,Super Hexagon,11099,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]"
282070,This War of Mine,10914,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]"
65980,Sid Meier's Civilization: Beyond Earth,10893,"[{'id': '2', 'description': 'Strategy'}]"
268500,XCOM 2,10799,"[{'id': '2', 'description': 'Strategy'}]"
250320,The Wolf Among Us,10570,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}]"
24240,PAYDAY: The Heist,10519,"[{'id': '1', 'description': 'Action'}]"
237930,Transistor,10443,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]"
223470,POSTAL 2,10387,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]"
265630,Fistful of Frags,10282,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}, {'id': '23', 'description': 'Indie'}]"
214490,Alien: Isolation,10149,"[{'id': '1', 'description': 'Action'}]"
40800,Super Meat Boy,9874,"[{'id': '23', 'description': 'Indie'}]"
35450,Rising Storm/Red Orchestra 2 Multiplayer,9851,"[{'id': '1', 'description': 'Action'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '28', 'description': 'Simulation'}]"
289070,Sid Meier's Civilization VI,9831,"[{'id': '2', 'description': 'Strategy'}]"
261030,The Walking Dead: Season Two,9761,"[{'id': '25', 'description': 'Adventure'}]"
233250,Planetary Annihilation,9736,[]
316010,Magic Duels,9726,"[{'id': '37', 'description': 'Free to Play'}, {'id': '2', 'description': 'Strategy'}]"
247730,Nether,9595,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}]"
10090,Call of Duty: World at War,9455,"[{'id': '1', 'description': 'Action'}]"
204300,Awesomenauts,9450,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}, {'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}]"
236390,War Thunder,9426,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '28', 'description': 'Simulation'}]"
226700,Infestation: Survivor Stories 2020,9372,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}, {'id': '23', 'description': 'Indie'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}]"
57300,Amnesia: The Dark Descent,9349,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]"
253710,theHunter Classic,9348,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '37', 'description': 'Free to Play'}, {'id': '28', 'description': 'Simulation'}, {'id': '18', 'description': 'Sports'}]"
250600,The Plan,9239,"[{'id': '4', 'description': 'Casual'}, {'id': '37', 'description': 'Free to Play'}, {'id': '23', 'description': 'Indie'}]"
7670,BioShock,9193,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]"
8980,Borderlands GOTY,9185,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]"
34330,Total War: SHOGUN 2,9020,"[{'id': '2', 'description': 'Strategy'}]"
34900,Bad Rats,8954,"[{'id': '23', 'description': 'Indie'}]"
241540,State of Decay,8921,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}]"
